champion,damage_objectives,damage_building,damage_turrets,kda,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
LeeSin,535.0,4369.0,535.0,2.0,0.0,23.0,105529,10967,TopLane_Jungle,Few
Ziggs,325.0,2447.0,325.0,0.8,0.0,18.0,71751,7508,Other,Many
LeeSin,367.0,36491.0,367.0,1.666666667,1.0,40.0,190449,14929,TopLane_Jungle,Few
Rakan,0.0,640.0,0.0,2.0,0.0,96.0,19016,8394,Other,Few
Jayce,9021.0,15463.0,9021.0,0.75,4.0,26.0,276599,16638,TopLane_Jungle,Many
Singed,3380.0,7179.0,3380.0,2.25,1.0,21.0,93585,9004,Other,Many
Zed,2415.0,37785.0,2415.0,2.25,1.0,43.0,242350,17735,TopLane_Jungle,Few
Jinx,6592.0,20004.0,6592.0,3.7142857142857135,3.0,29.0,245832,18894,Other,Many
TwistedFate,2949.0,3542.0,2949.0,1.8333333333333333,1.0,17.0,164363,12520,Other,Many
Ashe,6629.0,11827.0,6629.0,3.75,2.0,24.0,102367,10159,Other,Many
Kalista,2377.0,2377.0,2377.0,1.714285714,1.0,21.0,96563,10958,Other,Many
Akali,1585.0,3077.0,1585.0,1.0,1.0,23.0,97417,8616,TopLane_Jungle,Many
Gragas,0.0,19058.0,0.0,2.8,0.0,15.0,107164,7373,TopLane_Jungle,Few
Thresh,0.0,0.0,0.0,0.8888888888888888,0.0,39.0,14654,4683,Other,Few
Xayah,0.0,0.0,0.0,0.571428571,0.0,26.0,75415,6816,Other,Many
Braum,0.0,2489.0,0.0,13.0,0.0,17.0,13249,4130,Other,Few
Corki,2012.0,8501.0,2012.0,1.75,1.0,32.0,151958,10125,Other,Many
Kindred,0.0,10627.0,0.0,1.8571428571428568,0.0,27.0,121974,10806,TopLane_Jungle,Few
Hecarim,0.0,15660.0,0.0,1.125,0.0,26.0,149991,10053,TopLane_Jungle,Few
Morgana,275.0,786.0,275.0,2.4285714285714284,0.0,75.0,27073,8409,Other,Few
Irelia,4148.0,4388.0,4148.0,1.0,0.0,14.0,80113,7887,Other,Many
Annie,0.0,0.0,0.0,0.8888888888888888,0.0,10.0,25927,6422,Other,Few
Pyke,0.0,2095.0,0.0,1.8,0.0,40.0,26445,10475,Other,Few
Teemo,2484.0,8161.0,2484.0,1.5,1.0,20.0,98287,9297,TopLane_Jungle,Many
Taliyah,35.0,15322.0,35.0,6.0,0.0,32.0,105349,9701,TopLane_Jungle,Few
Nidalee,1428.0,27509.0,1428.0,3.7142857142857135,2.0,46.0,181878,17893,TopLane_Jungle,Few
Jhin,7733.0,23520.0,7733.0,16.0,5.0,34.0,207197,15337,Other,Many
Caitlyn,4263.0,14793.0,4263.0,5.333333333333333,1.0,38.0,189685,13992,Other,Many
Xayah,10567.0,20628.0,10567.0,3.5,5.0,31.0,161107,15322,Other,Many
XinZhao,1979.0,34697.0,1979.0,5.8,0.0,40.0,211456,16704,TopLane_Jungle,Few
LeeSin,2170.0,39518.0,2170.0,5.666666667,2.0,29.0,135458,9712,TopLane_Jungle,Few
